algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.2574,9523,8
QuickSort,random,1000,0.447399,17969,6
QuickSelect,random,1000,0.031,3916,13
MergeSort,random,10000,1.2371,127212,11
QuickSort,random,10000,1.212999,258125,8
QuickSelect,random,10000,0.1372,44568,17
MergeSort,random,100000,9.797701,1639343,14
QuickSort,random,100000,11.945301,3085496,11
QuickSelect,random,100000,1.3471,417157,20
MergeSort,random,1000000,117.663499,19889337,18
QuickSort,random,1000000,148.9093,39433739,13
QuickSelect,random,1000000,18.3031,4160679,31
MergeSort,sorted,1000,0.0142,4236,8
QuickSort,sorted,1000,0.0489,17179,6
QuickSelect,sorted,1000,0.006599,6351,12
MergeSort,sorted,10000,0.1888,59248,11
QuickSort,sorted,10000,0.6804,238570,9
QuickSelect,sorted,10000,0.040001,41721,13
MergeSort,sorted,100000,2.276301,744016,14
QuickSort,sorted,100000,6.7487,3152997,11
QuickSelect,sorted,100000,0.472699,513130,21
MergeSort,sorted,1000000,36.537099,9071040,18
QuickSort,sorted,1000000,80.821701,38353712,12
QuickSelect,sorted,1000000,4.836501,5084132,25
MergeSort,duplicates,1000,0.0296,9036,8
QuickSort,duplicates,1000,0.019201,5291,2
QuickSelect,duplicates,1000,0.0135,3432,4
MergeSort,duplicates,10000,0.406899,121712,11
QuickSort,duplicates,10000,0.1758,57286,2
QuickSelect,duplicates,10000,0.1145,39074,4
MergeSort,duplicates,100000,4.5218,1563025,14
QuickSort,duplicates,100000,1.7286,569162,2
QuickSelect,duplicates,100000,1.3571,488456,5
MergeSort,duplicates,1000000,55.361199,18922524,18
QuickSort,duplicates,1000000,17.3687,5298558,2
QuickSelect,duplicates,1000000,12.061699,3202181,4
